Dalvik/2.1.0 (Linux; U; Android 13; SM-F926N Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Mi PAD 4 Plus Build/TD1A.221105.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G998U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A526U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A516B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Nokia G50 Build/TKQ1.220807.001)
Dalvik/2.1.0 (Linux; U; Android 13; V2041 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; 2203129G Build/TKQ1.220807.001)
Dalvik/2.1.0 (Linux; U; Android 13; V2130 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S901B Build/TP1A.220624.014; BroadcastDotRadioApp )
Dalvik/2.1.0 (Linux; U; Android 13; SM-A515U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A136U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A516V Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-M127F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S901U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Pro Build/TQ1A.230105.002)
Dalvik/2.1.0 (Linux; U; Android 13; MT2111 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-P613 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-F711U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G9810 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; V2053 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-M135F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2333 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-F936N Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A137F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; 22041216G Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/T2B1.221118.006)
Dalvik/2.1.0 (Linux; U; Android 13; Nokia XR20 Build/TKQ1.220807.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A047F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A5360 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G7810 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A136W Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G991B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-T733 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A536V Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-T575 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A037G Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SC-51C Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A135F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G781W Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2293 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A715W Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G715FN Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-F916U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; V2055A Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G781V Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3311 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A536W Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/T2B1.221118.006)
Dalvik/2.1.0 (Linux; U; Android 13; SM-T225 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G9860 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A037F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2247 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2337 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SC-55B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G986W Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; V2202 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G781U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2341 Build/TP1A.220624.003)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G998B Build/TP1A.220624.014) ;SM-G998B
Dalvik/2.1.0 (Linux; U; Android 13; SM-A226BR Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SH-54B Build/SB185)
Dalvik/2.1.0 (Linux; U; Android 13; SM-E225F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3474 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TQ1A.230105.001.A2)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3301 Build/SKQ1.220617.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A325N Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N986U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; 22021211RI Build/TKQ1.221128.002)
